frame,source_track,target_track,ttc_std,ttc_mod,pair_risk_mod,pair_risk_std,is_critical_0.3,is_critical_0.5,is_critical_0.7
1,1,7,10,3.808478117,0.287045464,0.035673993,0,0,0
1,2,6,10,8.90886879,0.062553488,0.035673993,0,0,0
1,2,5,10,9.074856758,0.056937804,0.035673993,0,0,0
1,2,4,10,5.303915977,0.231628184,0.035673993,0,0,0
1,2,3,2.610184431,2.098800421,0.591110501,0.500114493,1,1,0
1,3,2,2.610184431,2.098800421,0.591110501,0.500114493,1,1,0
1,3,7,10,2.072202444,0.961764076,0.827066021,1,1,1
1,4,2,10,5.303915977,0.231628184,0.035673993,0,0,0
1,5,10,10,8.515141487,0.058319182,0.035673993,0,0,0
1,5,2,10,9.074856758,0.056937804,0.035673993,0,0,0
1,6,10,10,8.648523331,0.055832302,0.035673993,0,0,0
1,6,2,10,8.90886879,0.062553488,0.035673993,0,0,0
1,7,3,10,2.072202444,0.961764076,0.827066021,1,1,1
1,7,1,10,3.808478117,0.287045464,0.035673993,0,0,0
1,10,6,10,8.648523331,0.055832302,0.035673993,0,0,0
1,10,5,10,8.515141487,0.058319182,0.035673993,0,0,0
2,1,7,10,3.767763138,0.287045464,0.035673993,0,0,0
2,2,6,10,8.858930588,0.062553488,0.035673993,0,0,0
2,2,5,10,9.033308029,0.056937804,0.035673993,0,0,0
2,2,4,10,5.210608006,0.232444585,0.035673993,0,0,0
2,2,3,2.496542931,1.990369797,0.596172641,0.504882255,1,1,0
2,3,2,2.496542931,1.990369797,0.596172641,0.504882255,1,1,0
2,3,7,10,2.042385101,0.961764076,0.827066021,1,1,1
2,4,2,10,5.210608006,0.232444585,0.035673993,0,0,0
2,5,10,10,8.525472641,0.055975469,0.035673993,0,0,0
2,5,2,10,9.033308029,0.056937804,0.035673993,0,0,0
2,6,10,10,8.656208038,0.053746664,0.035673993,0,0,0
2,6,2,10,8.858930588,0.062553488,0.035673993,0,0,0
2,7,3,10,2.042385101,0.961764076,0.827066021,1,1,1
2,7,1,10,3.767763138,0.287045464,0.035673993,0,0,0
2,10,6,10,8.656208038,0.053746664,0.035673993,0,0,0
2,10,5,10,8.525472641,0.055975469,0.035673993,0,0,0
3,1,7,10,3.749127626,0.287045464,0.035673993,0,0,0
3,2,6,10,8.810417175,0.062553488,0.035673993,0,0,0
3,2,4,10,5.123164654,0.232845907,0.035673993,0,0,0
3,2,5,10,8.993224144,0.056937804,0.035673993,0,0,0
3,2,3,2.407394409,1.904282212,0.600931144,0.509225117,1,1,0
3,3,2,2.407394409,1.904282212,0.600931144,0.509225117,1,1,0
3,3,7,10,2.020889282,0.961764076,0.827066021,1,1,1
3,4,2,10,5.123164654,0.232845907,0.035673993,0,0,0
3,5,2,10,8.993224144,0.056937804,0.035673993,0,0,0
3,5,10,10,8.762671471,0.055975469,0.035673993,0,0,0
3,6,2,10,8.810417175,0.062553488,0.035673993,0,0,0
3,6,10,10,8.879500389,0.053746664,0.035673993,0,0,0
3,7,3,10,2.020889282,0.961764076,0.827066021,1,1,1
3,7,1,10,3.749127626,0.287045464,0.035673993,0,0,0
3,10,6,10,8.879500389,0.053746664,0.035673993,0,0,0
3,10,5,10,8.762671471,0.055975469,0.035673993,0,0,0
4,1,7,10,3.744343996,0.222343045,0.035673993,0,0,0
4,2,6,10,8.718438148,0.062553488,0.035673993,0,0,0
4,2,4,10,4.983159065,0.232968923,0.035673993,0,0,0
4,2,5,10,8.915975571,0.056937804,0.035673993,0,0,0
4,2,3,2.338458776,1.829151511,0.60467142,0.512461023,1,1,0
4,2,7,2.524108648,2.124213696,0.535604039,0.462629444,1,1,0
4,3,2,2.338458776,1.829151511,0.60467142,0.512461023,1,1,0
4,3,7,10,2,0.961764076,0.827066021,1,1,1
4,4,2,10,4.983159065,0.232968923,0.035673993,0,0,0
4,5,2,10,8.915975571,0.056937804,0.035673993,0,0,0
4,5,10,10,8.648525238,0.052768033,0.035673993,0,0,0
4,6,2,10,8.718438148,0.062553488,0.035673993,0,0,0
4,6,10,10,8.770421028,0.050820605,0.035673993,0,0,0
4,7,2,2.524108648,2.124213696,0.535604039,0.462629444,1,1,0
4,7,3,10,2,0.961764076,0.827066021,1,1,1
4,7,1,10,3.744343996,0.222343045,0.035673993,0,0,0
4,10,6,10,8.770421028,0.050820605,0.035673993,0,0,0
4,10,5,10,8.648525238,0.052768033,0.035673993,0,0,0
5,2,3,2.286526918,1.773111105,0.606186879,0.513402593,1,1,0
5,2,4,10,4.858762264,0.232968923,0.035673993,0,0,0
5,2,5,10,8.844694138,0.056937804,0.035673993,0,0,0
5,2,6,10,8.632972717,0.062553488,0.035673993,0,0,0
5,2,7,2.450004578,2.041747808,0.535604039,0.462629444,1,1,0
5,3,2,2.286526918,1.773111105,0.606186879,0.513402593,1,1,0
5,3,7,10,2,0.961764076,0.827066021,1,1,1
5,4,2,10,4.858762264,0.232968923,0.035673993,0,0,0
5,5,2,10,8.844694138,0.056937804,0.035673993,0,0,0
5,5,10,10,8.825549126,0.047789947,0.035673993,0,0,0
5,6,2,10,8.632972717,0.062553488,0.035673993,0,0,0
5,6,10,10,8.938360214,0.046263406,0.035673993,0,0,0
5,7,2,2.450004578,2.041747808,0.535604039,0.462629444,1,1,0
5,7,3,10,2,0.961764076,0.827066021,1,1,1
5,10,5,10,8.825549126,0.047789947,0.035673993,0,0,0
5,10,6,10,8.938360214,0.046263406,0.035673993,0,0,0
6,1,7,10,4.510601521,0.035673993,0.035673993,0,0,0
6,2,3,2.247462273,1.731818199,0.606186879,0.513402593,1,1,0
6,2,4,10,4.750321865,0.232968923,0.035673993,0,0,0
6,2,5,10,8.781004906,0.056937804,0.035673993,0,0,0
6,2,6,10,8.555953979,0.062553488,0.035673993,0,0,0
6,2,7,2.390410662,1.974448919,0.535604039,0.462629444,1,1,0
6,3,2,2.247462273,1.731818199,0.606186879,0.513402593,1,1,0
6,3,7,10,2,0.961764076,0.827066021,1,1,1
6,4,2,10,4.750321865,0.232968923,0.035673993,0,0,0
6,5,2,10,8.781004906,0.056937804,0.035673993,0,0,0
6,6,2,10,8.555953979,0.062553488,0.035673993,0,0,0
6,7,1,10,4.510601521,0.035673993,0.035673993,0,0,0
6,7,2,2.390410662,1.974448919,0.535604039,0.462629444,1,1,0
6,7,3,10,2,0.961764076,0.827066021,1,1,1
7,2,3,2.218421459,1.702001929,0.606186879,0.513402593,1,1,0
7,2,4,10,4.657766342,0.233054144,0.035673993,0,0,0
7,2,5,10,8.726315498,0.056937804,0.035673993,0,0,0
7,2,6,10,8.489090919,0.062553488,0.035673993,0,0,0
7,2,7,2.346152544,1.922854424,0.535604039,0.462629444,1,1,0
7,3,2,2.218421459,1.702001929,0.606186879,0.513402593,1,1,0
7,3,7,1.66976738,0.33395347,0.961764076,0.827066021,1,1,1
7,4,2,10,4.657766342,0.233054144,0.035673993,0,0,0
7,5,2,10,8.726315498,0.056937804,0.035673993,0,0,0
7,5,10,10,9.122819901,0.042958775,0.035673993,0,0,0
7,6,2,10,8.489090919,0.062553488,0.035673993,0,0,0
7,6,10,10,9.220211983,0.04181197,0.035673993,0,0,0
7,7,2,2.346152544,1.922854424,0.535604039,0.462629444,1,1,0
7,7,3,1.66976738,0.33395347,0.961764076,0.827066021,1,1,1
7,10,5,10,9.122819901,0.042958775,0.035673993,0,0,0
7,10,6,10,9.220211983,0.04181197,0.035673993,0,0,0
8,2,3,2.195544243,1.679640532,0.606186879,0.513402593,1,1,0
8,2,4,10,4.580628395,0.233450321,0.035673993,0,0,0
8,2,5,10,8.681447983,0.056937804,0.035673993,0,0,0
8,2,6,10,8.433339119,0.062553488,0.035673993,0,0,0
8,2,7,2.318395853,1.887691259,0.535604039,0.462629444,1,1,0
8,3,2,2.195544243,1.679640532,0.606186879,0.513402593,1,1,0
8,3,7,0.729553282,0.14591065,0.961764076,0.827066021,1,1,1
8,4,2,10,4.580628395,0.233450321,0.035673993,0,0,0
8,5,2,10,8.681447983,0.056937804,0.035673993,0,0,0
8,5,10,10,9.44254303,0.038360454,0.035673993,0,0,0
8,6,2,10,8.433339119,0.062553488,0.035673993,0,0,0
8,6,10,10,9.52371788,0.037881977,0.035673993,0,0,0
8,7,2,2.318395853,1.887691259,0.535604039,0.462629444,1,1,0
8,7,3,0.729553282,0.14591065,0.961764076,0.827066021,1,1,1
8,10,5,10,9.44254303,0.038360454,0.035673993,0,0,0
8,10,6,10,9.52371788,0.037881977,0.035673993,0,0,0
9,2,5,10,8.646672249,0.056937804,0.035673993,0,0,0
9,2,16,10,8.987582207,0.050834015,0.035673993,0,0,0
9,2,4,10,4.51807785,0.234266516,0.035673993,0,0,0
9,2,6,10,8.389101982,0.062553488,0.035673993,0,0,0
9,2,3,2.175093412,1.66088593,0.606186879,0.513402593,1,1,0
9,2,7,2.312486649,1.873080373,0.068584954,0.035673993,0,0,0
9,3,2,2.175093412,1.66088593,0.606186879,0.513402593,1,1,0
9,3,7,0.578783691,0.116958305,0.961721262,0.827066021,1,1,1
9,4,16,10,7.946164131,0.073317645,0.035673993,0,0,0
9,4,2,10,4.51807785,0.234266516,0.035673993,0,0,0
9,5,16,10,9.65607357,0.040005478,0.035673993,0,0,0
9,5,2,10,8.646672249,0.056937804,0.035673993,0,0,0
9,6,16,10,9.94668293,0.036305915,0.035673993,0,0,0
9,6,2,10,8.389101982,0.062553488,0.035673993,0,0,0
9,7,2,2.312486649,1.873080373,0.068584954,0.035673993,0,0,0
9,7,3,0.578783691,0.116958305,0.961721262,0.827066021,1,1,1
9,11,16,10,9.990048409,0.091729471,0.035673993,0,0,0
9,16,5,10,9.65607357,0.040005478,0.035673993,0,0,0
9,16,11,10,9.990048409,0.091729471,0.035673993,0,0,0
9,16,4,10,7.946164131,0.073317645,0.035673993,0,0,0
9,16,6,10,9.94668293,0.036305915,0.035673993,0,0,0
9,16,2,10,8.987582207,0.050834015,0.035673993,0,0,0
10,2,5,10,8.621735573,0.056937804,0.035673993,0,0,0
10,2,16,10,8.965567589,0.050834015,0.035673993,0,0,0
10,2,4,10,4.468987942,0.235650318,0.035673993,0,0,0
10,2,6,10,8.356115341,0.062553488,0.035673993,0,0,0
10,2,3,2.15468049,1.643033981,0.606186879,0.513402593,1,1,0
10,2,7,10,8.068717003,0.068584954,0.035673993,0,0,0
10,3,2,2.15468049,1.643033981,0.606186879,0.513402593,1,1,0
10,3,7,0.569612265,0.117091857,0.94723028,0.772090766,1,1,1
10,4,16,10,7.922790051,0.073317645,0.035673993,0,0,0
10,4,2,10,4.468987942,0.235650318,0.035673993,0,0,0
10,5,16,10,9.656216621,0.039969924,0.035673993,0,0,0
10,5,2,10,8.621735573,0.056937804,0.035673993,0,0,0
10,6,16,10,9.947323799,0.03629981,0.035673993,0,0,0
10,6,2,10,8.356115341,0.062553488,0.035673993,0,0,0
10,7,2,10,8.068717003,0.068584954,0.035673993,0,0,0
10,7,3,0.569612265,0.117091857,0.94723028,0.772090766,1,1,1
10,11,16,10,9.910638809,0.091729471,0.035673993,0,0,0
10,16,5,10,9.656216621,0.039969924,0.035673993,0,0,0
10,16,11,10,9.910638809,0.091729471,0.035673993,0,0,0
10,16,4,10,7.922790051,0.073317645,0.035673993,0,0,0
10,16,6,10,9.947323799,0.03629981,0.035673993,0,0,0
10,16,2,10,8.965567589,0.050834015,0.035673993,0,0,0
11,2,5,10,8.605919838,0.056937804,0.035673993,0,0,0
11,2,16,10,8.950353622,0.050834015,0.035673993,0,0,0
11,2,4,10,4.431986332,0.23774718,0.035673993,0,0,0
11,2,6,10,8.333599091,0.062553488,0.035673993,0,0,0
11,2,3,2.132100582,1.623665571,0.606186879,0.513402593,1,1,0
11,2,7,10,8.048625946,0.068584954,0.035673993,0,0,0
11,3,2,2.132100582,1.623665571,0.606186879,0.513402593,1,1,0
11,3,7,0.775959492,0.162639141,0.489786602,0.035673993,1,0,0
11,4,16,10,7.90353632,0.073317645,0.035673993,0,0,0
11,4,2,10,4.431986332,0.23774718,0.035673993,0,0,0
11,5,16,10,9.658884048,0.03988638,0.035673993,0,0,0
11,5,2,10,8.605919838,0.056937804,0.035673993,0,0,0
11,6,16,10,9.947828293,0.036286462,0.035673993,0,0,0
11,6,2,10,8.333599091,0.062553488,0.035673993,0,0,0
11,7,2,10,8.048625946,0.068584954,0.035673993,0,0,0
11,7,3,0.775959492,0.162639141,0.489786602,0.035673993,1,0,0
11,11,16,10,9.684034348,0.091729471,0.035673993,0,0,0
11,16,5,10,9.658884048,0.03988638,0.035673993,0,0,0
11,16,11,10,9.684034348,0.091729471,0.035673993,0,0,0
11,16,4,10,7.90353632,0.073317645,0.035673993,0,0,0
11,16,6,10,9.947828293,0.036286462,0.035673993,0,0,0
11,16,2,10,8.950353622,0.050834015,0.035673993,0,0,0
12,2,5,10,8.598246574,0.056937804,0.035673993,0,0,0
12,2,16,10,8.941458702,0.050834015,0.035673993,0,0,0
12,2,4,10,4.405517578,0.240705562,0.035673993,0,0,0
12,2,6,10,8.320458412,0.062553488,0.035673993,0,0,0
12,2,3,2.106432915,1.601562142,0.606186879,0.513402593,1,1,0
12,2,7,10,8.039046288,0.068581749,0.035673993,0,0,0
12,3,2,2.106432915,1.601562142,0.606186879,0.513402593,1,1,0
12,3,7,10,2.141356468,0.48158248,0.035673993,1,0,0
12,4,16,10,7.888078213,0.073317645,0.035673993,0,0,0
12,4,2,10,4.405517578,0.240705562,0.035673993,0,0,0
12,5,16,10,9.665161133,0.039779495,0.035673993,0,0,0
12,5,2,10,8.598246574,0.056937804,0.035673993,0,0,0
12,6,16,10,9.948931694,0.036277327,0.035673993,0,0,0
12,6,2,10,8.320458412,0.062553488,0.035673993,0,0,0
12,7,2,10,8.039046288,0.068581749,0.035673993,0,0,0
12,7,3,10,2.141356468,0.48158248,0.035673993,1,0,0
12,16,5,10,9.665161133,0.039779495,0.035673993,0,0,0
12,16,2,10,8.941458702,0.050834015,0.035673993,0,0,0
12,16,4,10,7.888078213,0.073317645,0.035673993,0,0,0
12,16,6,10,9.948931694,0.036277327,0.035673993,0,0,0
13,2,5,10,8.597387314,0.056850719,0.035673993,0,0,0
13,2,16,10,8.937568665,0.050832561,0.035673993,0,0,0
13,2,4,10,4.387865543,0.24467643,0.035673993,0,0,0
13,2,6,10,8.315199852,0.06253132,0.035673993,0,0,0
13,2,3,2.078754663,1.577256918,0.606186879,0.513402593,1,1,0
13,2,7,10,8.039186478,0.068380077,0.035673993,0,0,0
13,3,2,2.078754663,1.577256918,0.606186879,0.513402593,1,1,0
13,3,7,10,2.192033291,0.472535627,0.035673993,1,0,0
13,4,16,10,7.875496387,0.073317645,0.035673993,0,0,0
13,4,2,10,4.387865543,0.24467643,0.035673993,0,0,0
13,5,16,10,9.673211098,0.039650391,0.035673993,0,0,0
13,5,2,10,8.597387314,0.056850719,0.035673993,0,0,0
13,6,16,10,9.949687004,0.0362717,0.035673993,0,0,0
13,6,2,10,8.315199852,0.06253132,0.035673993,0,0,0
13,7,2,10,8.039186478,0.068380077,0.035673993,0,0,0
13,7,3,10,2.192033291,0.472535627,0.035673993,1,0,0
13,11,16,10,9.26497364,0.091729471,0.035673993,0,0,0
13,16,5,10,9.673211098,0.039650391,0.035673993,0,0,0
13,16,11,10,9.26497364,0.091729471,0.035673993,0,0,0
13,16,4,10,7.875496387,0.073317645,0.035673993,0,0,0
13,16,6,10,9.949687004,0.0362717,0.035673993,0,0,0
13,16,2,10,8.937568665,0.050832561,0.035673993,0,0,0
14,2,5,10,8.601979256,0.056686984,0.035673993,0,0,0
14,2,16,10,8.937654495,0.050700067,0.035673993,0,0,0
14,2,4,10,4.377310276,0.249798219,0.035673993,0,0,0
14,2,6,10,8.316263199,0.062410577,0.035673993,0,0,0
